,PlanetIdentifier,PeriodDays,SemiMajorAxisAU
1861,Kepler-87 c,192.363,0.664
1862,HD 180902 b,479.0,1.39
1863,Kepler-1550 b,225.582809,0.7252323760683347
1864,Kepler-1538 b,175.13881899999998,0.6126251118621844
1865,Kepler-193 b,11.38848,0.09906426596288749
1866,Kepler-193 c,50.697494,0.268079854176397
1867,Kepler-55 d,2.2110990000000004,0.03321584529173729
1868,Kepler-55 b,27.953314000000002,0.18025834757561404
1869,Kepler-55 c,42.142596000000005,0.23700310737395505
1870,Kepler-55 e,4.617534,0.05426834595105647
1871,Kepler-55 f,10.198545,0.09203760902501716
1872,KIC 7917485 b,840.0,2.03
1873,Kepler-1604 b,0.68368426,0.015188337462554163
1874,Kepler-922 b,0.93846683,0.018759408259671727
1875,EPIC 210363145 b,8.1998,0.07958087135659428
1876,HATS-6 b,3.3252725,0.03623
1877,Kepler-1149 b,3.73089898,0.04707772961470738
1878,Kepler-1593 b,174.509835,0.6111574669105975
1879,HD 83443 b,2.985625,0.0406
1880,Kepler-958 b,9.767880499999999,0.08942797748675504
1881,HD 121504 b,63.33,0.33
1882,Kepler-1391 b,54.4092333,0.2810098788374152
1883,WASP-106 b,9.289715,0.0917
1884,Kepler-1344 b,4.7683049,0.05544331579502277
1885,Kepler-1497 b,8.74199772,0.08305140352278938
1886,1SWASP J1407 b,10044.0,9.110544203554596
1887,Kepler-1507 b,16.050621300000003,0.12452821100241637
1888,K2-105 b,8.266902,0.08001444117906004
1889,Kepler-151 b,15.228957999999999,0.12024120213706851
1890,Kepler-151 c,24.674612,0.1658721237128853
1891,HD 156411 b,842.2,1.88
1892,Kepler-969 b,34.1731714,0.20609306282190387
1893,Kepler-969 c,1.6829346,0.027689684655923186
1894,Kepler-1447 b,56.6747285,0.2887571959318786
1895,Kepler-1536 b,364.758031,0.9991018398209442
1896,Kepler-1299 b,19.9400874,0.14391008243577863
1897,Kepler-923 b,6.93366476,0.07116204338711102
1898,PSR B1620-26 b,24837.0,20.0
1899,Kepler-1512 b,20.35972599,0.1459221218569854
1900,XO-1 b,3.9415127999999995,0.0488
1901,WASP-74 b,2.13775,0.037000000000000005
1902,HD 190647 b,1038.1,2.07
1903,WASP-44 b,2.4238133,0.03445
1904,SWEEPS-11,1.796,0.03
1905,Kepler-944 b,43.3167737,0.24138517016143546
1906,Kepler-1164 b,3.97599768,0.04911761437737938
1907,Kepler-1124 b,2.85234897,0.0393618004825255
1908,WASP-28 b,3.4088300000000005,0.04469
1909,WASP-132 b,7.133521000000001,0.067
1910,HIP 116454 b,9.1205,0.08543168038145192
1911,Kepler-386 c,25.193458,0.16818930328820694
1912,Kepler-386 b,12.31043,0.10434108110626972
1913,HAT-P-28 b,3.257215,0.0434
1914,Kepler-916 b,32.2968798,0.19847854232990675
1915,Kepler-687 b,20.50586978,0.14661958311501663
1916,Gliese 667 C b,7.2004,0.0505
1917,Gliese 667 C h,16.945999999999998,0.0893
1918,Gliese 667 C c,28.14,0.125
1919,Gliese 667 C f,39.025999999999996,0.156
1920,Gliese 667 C e,62.24,0.213
1921,Gliese 667 C d,91.61,0.276
1922,Gliese 667 C g,256.2,0.5489999999999999
1923,Kepler-571 b,4.79859939,0.055677899989965
1924,Kepler-707 b,2.23749275,0.03347965248718532
1925,Kepler-80 b,7.053458,0.07197934771492101
1926,Kepler-80 c,9.521772,0.08791946478191995
1927,Kepler-80 d,3.072186,0.041359142005892614
1928,Kepler-80 e,4.645387,0.05448635852367054
1929,Kepler-80 f,0.98678706,0.019397934155277158
1930,Kepler-578 b,1.6168837,0.02696036114904983
1931,HIP 79431 b,111.7,0.36
1932,WASP-99 b,5.75251,0.0717
1933,Kepler-1606 b,196.435224,0.6613318330719579
1934,HD 50499 b,2482.7,3.86
1935,Kepler-496 b,8.30864937,0.08028359378370649
1936,HD 150433 b,1096.2,1.9303
1937,WASP-96 b,3.4252602,0.0453
1938,Kepler-361 c,55.188023,0.28368502296888537
1939,Kepler-361 b,8.486616,0.08142595948490455
1940,HD 128356 b,298.2,0.87
1941,YBP401 b,4.087,0.05002759308706179
1942,Kepler-1212 b,12.94130146,0.10787607906170722
1943,WASP-131 b,5.322023000000001,0.0607
1944,Gliese 832 b,3660.0,3.6
1945,Gliese 832 c,35.67,0.162
1946,Kepler-281 c,36.337373,0.2147050213738824
1947,Kepler-281 b,14.646007999999998,0.11715280595375295
1948,Kepler-868 b,5.03251791,0.05747293857200042
1949,Kepler-764 b,7.33683936,0.07389456957901082
1950,Kepler-804 b,14.37457351,0.11570083565912362
1951,Kepler-804 c,9.65185017,0.0887183721634523
1952,HD 20782 b,597.065,1.3969999999999998
1953,HD 20781 b,29.15,0.16899999999999998
1954,HD 20781 c,85.131,0.3456
1955,Kepler-146 b,31.158799,0.1937880488405117
1956,Kepler-146 c,76.732171,0.3533931883563435
1957,WASP-55 b,4.465633,0.0533
1958,HD 109749 A b,5.24,0.0635
1959,Kepler-401 b,14.383035000000001,0.11574623551933852
1960,Kepler-401 c,47.318218,0.2560307356738471
1961,Kepler-401 d,184.256405,0.6337066227759842
1962,Kepler-1599 b,122.363553,0.48236364637159995
1963,EPIC 201565013 b,8.6381,0.0669
1964,Kepler-468 b,38.47875707,0.2230594054853631
1965,WASP-16 b,3.1186008999999997,0.0421
1966,MOA-2008-BLG-310-L b,510.4523929886239,1.25
1967,HAT-P-50 b,3.1220109000000003,0.0453
1968,Kepler-13 A b,1.76358799,0.034230000000000003
1969,HD 103197 b,47.84,0.249
1970,GJ 229 b,471.0,0.97
1971,Proxima Centauri b,11.186,0.0485
1972,Alpha Centauri B b,3.2357,0.04
1974,Kepler-1619 b,23.6225913,0.16112324789113996
1975,WASP-15 b,3.7520656000000003,0.0499
1976,Kepler-1061 b,2.75798267,0.03848878534434303
1977,Kepler-860 b,5.10137945,0.057996030444628754
1978,Kepler-831 b,5.62153941,0.06187426077457484
1979,HAT-P-8 b,3.0763402,0.0439
1980,Kepler-1525 b,2.41660118,0.0352432950503583
1981,Kepler-846 b,19.80792185,0.14327347444500596
1982,Kepler-755 b,1.26909037,0.022940429747322435
1983,Kepler-755 c,2.85313364,0.03936901900274131
1984,Kepler-704 b,3.76182115,0.04733749578846986
1985,Kepler-573 b,22.18329658,0.15451023057762325
1986,Lalande 21185 b,9.8693,0.09004592919289697
1987,Kepler-839 b,37.814451399999996,0.22048466361826938
1988,Kepler-1263 b,4.55139967,0.05374893120149966
1989,Kepler-625 b,7.75192492,0.07665601210808662
1990,Kepler-625 c,4.1653651,0.05066506057283285
1991,Kepler-1397 b,47.449954999999996,0.25650571960592455
1992,HAT-P-20 b,2.875317,0.0361
1993,HD 233604 b,192.0,0.747
1994,HATS-13 b,3.0440499,0.04057
1995,HAT-P-46 b,5.062370705380984,0.0577
1996,HAT-P-46 c,86.57417976117611,0.38299999999999995
1997,Kepler-1089 b,5.13248562,0.05823154921897985
1998,16 Cygni B b,799.5,1.72
1999,Kepler-1339 b,1.34155513,0.023805585446739597
2000,Kepler-889 b,3.744439,0.047191562494633896
2001,Kepler-239 b,11.763050999999999,0.10122470122220917
2002,Kepler-239 c,56.228097999999996,0.2872381443113368
2003,Kepler-927 b,9.1149903,0.08539727069381656
2004,HD 82886 b,705.0,1.65
2005,Kepler-1540 b,125.41311770000002,0.4903450849755377
2006,8 Ursae Minoris b,93.4,0.49
2007,Kepler-845 b,0.92785982,0.01861778865165472
2008,Kepler-461 b,8.31378306,0.08031666042169892
2010,Kepler-165 b,8.180848,0.07945820183980112
2011,Kepler-165 c,15.31299,0.1206831163356647
2012,HD 141937 b,653.22,1.52
2013,Kepler-684 b,6.77030201,0.07003985070707036
2014,Kepler-631 b,17.97979059,0.1343165731674903
2015,Kepler-95 b,11.5231,0.0998434097406904
2016,Kepler-1340 b,0.66502692,0.014910744690940454
2017,Kepler-529 b,1.98035766,0.03086281995510426
2018,Kepler-529 c,12.8345022,0.1072817549992777
2019,Kepler-299 c,6.885875,0.07083468060916419
2020,Kepler-299 d,15.054785999999998,0.11932265495192484
2021,Kepler-299 b,2.9271279999999997,0.04004678531837446
2022,Kepler-299 e,38.285489,0.2223118686910877
2023,Kepler-10 b,0.8374906999999999,0.01685
2024,Kepler-10 c,45.294301000000004,0.24100000000000002
2025,Kepler-442 b,112.3053,0.409
2026,HD 45350 b,890.76,1.92
2027,Kepler-832 b,7.139694099999999,0.07256484191757862
2028,Kepler-1067 b,0.76212926,0.01632897562111083
2029,HD 168746 b,6.403,0.065
2030,Kepler-127 d,48.630408,0.282
2031,Kepler-127 c,29.393195000000002,0.20199999999999999
2032,Kepler-127 b,14.435889000000001,0.126
2033,Kepler-1194 b,16.22371307,0.12542189401473594
2034,Kepler-1546 b,19.597497100000002,0.1422569815581112
2035,HATS-8 b,3.583893,0.046669999999999996
2036,K2-99 b,18.249000000000002,0.159
2037,Kepler-304 b,3.2957089999999996,0.0433416814222079
2038,Kepler-304 d,9.653471000000001,0.08872830417111818
2039,Kepler-304 c,5.315946,0.05961106634423494
2040,Kepler-304 e,1.49914695,0.025635157336592204
2041,KIC 10905746 b,9.8844,0.0751
2042,Kepler-612 b,3.72215641,0.047004156416342986
2043,Kepler-979 b,8.088013499999999,0.07885594281122778
2044,HD 120084 b,2082.0,4.3
2045,Kepler-945 b,31.003381400000002,0.19314311241053983
2046,Kepler-1574 b,6.9424334000000005,0.07122202733628939
2047,Kepler-270 b,11.476094,0.09957169836904159
2048,Kepler-270 c,25.262887,0.16849816278881338
2049,WASP-34 b,4.3176782,0.0524
2050,CoRoT-29 b,2.8505700000000003,0.039
2051,WASP-4 b,1.33823187,0.023119999999999998
2052,Kepler-28 b,5.91,0.062
2053,Kepler-28 c,8.98,0.081
2054,HD 220074 b,672.1,1.6
