PlanetIdentifier,PeriodDays,SemiMajorAxisAU,DistFromEarthParsec,ListsPlanetIsOn
HAT-P-40 b,4.457243,0.0608,501.0,0
Gliese 687 b,38.14,0.16353,4.5,0
Kepler-79 d,52.09059,0.27296860558736014,1100.38,0
Kepler-79 c,27.401994000000002,0.17788034435792016,1100.38,0
Kepler-79 b,13.484685999999998,0.11087502794691537,1100.38,0
Kepler-79 e,81.065298,0.36657527801189954,1100.38,0
HD 9578 b,494.0,1.222994440661944,57.24,0
Kepler-194 c,17.308032,0.1309498413435873,1233.85,0
Kepler-194 b,2.0922810000000003,0.03201497677402975,1233.85,0
Kepler-194 d,52.814972999999995,0.27549341654874593,1233.85,0
HD 44219 b,472.3,1.19,50.43,0
OGLE-2012-BLG-0406L b,2813.1127243566866,3.9,5100.0,0
CoRoT-18 b,1.9000693,0.0295,870.0,0
CoRoT-10 b,13.2406,0.1055,345.0,0
Kepler-284 b,12.699149,0.10652615772772024,1266.39,0
Kepler-284 c,37.514456,0.21931699446879707,1266.39,0
Kepler-248 c,16.239494,0.1255032133931119,851.1,0
Kepler-248 b,6.308205,0.06681547329598725,851.1,0
Kepler-351 c,57.248090000000005,0.29070144108633056,1448.51,0
Kepler-351 b,37.054919,0.21752228786088149,1448.51,0
Kepler-351 d,142.54424699999998,0.5340390069836759,1448.51,0
14 And b,185.84,0.83,79.2,0
Kepler-317 b,5.524242,0.06115824023490771,1142.05,0
Kepler-317 c,8.77501,0.08326035602854595,1142.05,0
MOA-2010-BLG-073L b,486.14775,1.21,2800.0,0
HD 216437 b,1256.0,2.32,26.5,0
HD 192699 b,345.53,1.32,65.6,0
HD 222155 b,3999.0,5.1,49.1,0
EPIC 201546283 b,6.77145,0.07004776790938366,251.0,0
Kepler-274 b,11.634788,0.10048752887771809,1253.43,0
Kepler-274 c,33.197860999999996,0.20215287322530437,1253.43,0
EPIC 201505350 c,11.90715,0.0971,291.0,0
EPIC 201505350 b,7.9194,0.07400000000000001,291.0,0
EPIC 201505350 d,2.5085599999999997,0.0344,291.0,0
WASP-139 b,5.924262000000001,0.062,230.0,0
Kepler-221 c,5.690586,0.06237987655451021,428.3,0
Kepler-221 d,10.04156,0.09109068654105335,428.3,0
Kepler-221 e,18.369917,0.13625255230504305,428.3,0
Kepler-221 b,2.795906,0.03884080547376759,428.3,0
HD 190984 b,4885.0,5.5,103.0,0
WASP-26 b,2.7566004,0.03985,250.0,0
WASP-110 b,3.7783976999999997,0.0457,320.0,0
HD 212301 b,2.245715,0.036000000000000004,52.7,0
GJ 273 b,18.6498,0.091101,3.8,0
GJ 273 c,4.7234,0.036467,3.8,0
Kepler-309 b,5.923653,0.06407170145564434,581.27,0
Kepler-309 c,105.35638300000001,0.43656316083817737,581.27,0
HD 177830 A b,406.6,1.2218,59.0,2
HD 177830 A c,110.9,0.5137,59.0,2
Kepler-109 b,6.48163,0.069,468.1,0
Kepler-109 c,21.2227,0.152,468.1,0
Kepler-392 b,5.3418529999999995,0.05980458376326548,659.81,0
Kepler-392 c,10.423117999999999,0.09338381666414883,659.81,0
WASP-43 b,0.81347753,0.01526,80.0,0
HAT-47 b,4.732182,0.0615,268.0,0
Gliese 581 b,5.3686,0.04061,6.21,0
Gliese 581 c,12.914000000000001,0.0721,6.21,0
Gliese 581 d,66.64,0.22,6.21,9
Gliese 581 e,3.1489999999999996,0.02815,6.21,0
Gliese 581 f,433.0,0.758,6.21,9
Gliese 581 g,36.5,0.146,6.21,9
WASP-93 b,2.7325321,0.04211,250.0,0
KOI-368.01,110.321611,0.6,1200.0,1
MOA-2010-BLG-328L b,322.30865335575464,0.92,810.0,0
HD 16141 A b,75.82,0.35,35.9,2
Kepler-314 c,5.960392,0.064336347129534,301.17,0
Kepler-314 b,2.4610689999999997,0.03567432054510819,301.17,0
HD 8574 b,227.55,0.77,44.2,0
CoRoT-11 b,2.994325,0.04351,560.0,0
KOI-55 b,0.2401,0.006,1180.0,1
