,PlanetIdentifier,TypeFlag,RightAscension,DeclinationAccurate,RightAscensionInDegrees,AngleBtwEarthExoplanetInDeg,DistFromEarthParsec
668,Kepler-572 b,0,69893.0,50.581388888888895,291.22083356631,137.7787825636481,
669,Kepler-1310 b,0,68141.0,40.74,283.92083356047,49.66436102520606,
670,MOA-2010-BLG-477L b,0,65167.0,-30.545555555555556,271.52916688388996,84.82487900553404,2300.0
671,Kepler-1620 b,0,71345.0,46.92833333333333,297.27083357115,25.824922571780625,
672,Kepler-638 b,0,68381.0,41.617222222222225,284.92083356127,126.64066082728739,
673,Kepler-551 b,0,68516.0,48.05444444444444,285.48333356172,95.08545638421658,
674,EPIC 211913977 b,0,31283.0,18.933888888888887,130.34583343761,152.0559769779002,
675,K2-39 b,0,81568.0,-8.022777777777778,339.86666693855994,105.45441937827998,255.0
676,HD 180314 b,0,69290.0,31.860277777777778,288.70833356429995,131.41876650560513,132.0
677,HD 217107 b,0,82695.5,-1.6046111111111112,344.56458360898495,114.92835766446908,19.86
678,HD 217107 c,0,82695.5,-1.6046111111111112,344.56458360898495,114.92835766446908,19.86
679,Kepler-349 b,0,70482.0,44.61555555555556,293.67500023494,67.11198373683617,987.72
680,Kepler-349 c,0,70482.0,44.61555555555556,293.67500023494,67.11198373683617,987.72
681,FW Tau b,1,16170.0,26.281388888888888,67.3750000539,60.629772864949985,145.0
682,beta Pic b,0,20837.0,-50.93361111111111,86.82083340278999,62.277714070107216,19.3
683,Kepler-637 b,0,70180.0,41.41694444444444,292.4166669006,131.45140606414932,
684,Kepler-1421 b,0,68779.0,48.54416666666666,286.57916689593,116.77209786936234,
685,HD 153950 b,0,61470.86989,-42.69022875,256.1286247465696,51.838782510325245,49.5
686,Kepler-701 b,0,69359.0,41.63333333333333,288.99583356452996,68.6952158006976,
687,Kepler-240 c,0,69878.0,40.75,291.15833356625996,138.45042366975247,840.27
688,Kepler-240 b,0,69878.0,40.75,291.15833356625996,138.45042366975247,840.27
689,HD 204941 b,0,77544.0,-19.0425,323.10000025847995,68.4098638087377,27.0
690,Kepler-1355 b,0,68098.0,49.06805555555556,283.74166689365995,106.29001459201376,
691,Kepler-440 b,0,68483.99,41.452194444444444,285.3499585616133,110.6538398429208,261.0
692,Kepler-574 b,0,69659.0,52.149166666666666,290.24583356552995,70.07892900938133,
