PlanetIdentifier,TypeFlag,RightAscension,DeclinationAccurate,RightAscensionInDegrees,AngleBtwEarthExoplanetInDeg,DistFromEarthParsec,ListsPlanetIsOn
WASP-33 b,0,8811.0,37.550555555555555,36.71250002937,33.16215503397915,116.0,0
Gliese 3293 b,0,16115.72,-24.83086111111111,67.14883338705239,135.3650247307665,18.2,0
Gliese 3293 d,0,16115.72,-24.83086111111111,67.14883338705239,135.3650247307665,18.2,0
Gliese 3293 c,0,16115.72,-24.83086111111111,67.14883338705239,135.3650247307665,18.2,1
Kepler-91 b,0,68561.0,44.11666666666667,285.67083356187,148.35658924600492,1030.0,0
HD 27631 b,0,15585.0,-40.03972222222222,64.93750005195,145.92007027325278,45.5,0
EPIC 201403446 b,2,41823.923,0.9072611111111112,174.26634597274642,48.22867301379483,362.0,3
Kepler-277 b,0,68779.0,39.07694444444445,286.57916689593,62.289419979948136,951.43,0
Kepler-277 c,0,68779.0,39.07694444444445,286.57916689593,62.289419979948136,951.43,0
KMT-2015-1 b,0,64719.01,-27.968305555555556,269.6625418823967,173.8419442034412,8200.0,0
Kepler-58 b,0,71126.0,39.115,296.35833357042,69.26180781676405,1302.83,0
Kepler-58 c,0,71126.0,39.115,296.35833357042,69.26180781676405,1302.83,0
Kepler-58 d,0,71126.0,39.115,296.35833357042,69.26180781676405,1302.83,0
OGLE-2012-BLG-0950L b,0,65285.0,-28.73166666666667,272.02083355095,121.96126954250676,3000.0,0
Kepler-245 b,0,69993.0,42.43611111111111,291.63750023331,114.18679628200127,919.92,0
Kepler-245 d,0,69993.0,42.43611111111111,291.63750023331,114.18679628200127,919.92,0
Kepler-245 c,0,69993.0,42.43611111111111,291.63750023331,114.18679628200127,919.92,0
Kepler-245 e,0,69993.0,42.43611111111111,291.63750023331,114.18679628200127,919.92,0
NY Virginis (AB) b,1,49128.0,-1.9697222222222224,204.70000016376,95.93771206926134,613.18,4
HD 219077 b,0,83647.0,-61.3,348.52916694549,69.1205725799245,29.0,0
HW Vir (AB) b,1,45860.23731,-7.328657277777777,191.08432227786741,141.78260397595795,181.0,5
WASP-13 b,0,33625.0,33.8825,140.10416677875,77.82796580009764,155.0,0
HD 215152 b,0,81801.0,-5.599166666666666,340.83750027266996,90.60898576131058,21.5,0
HD 215152 c,0,81801.0,-5.599166666666666,340.83750027266996,90.60898576131058,21.5,0
18 Del b,0,75505.93397,10.839285805555557,314.6080584600198,115.5906859816901,75.3,0
Kepler-210 c,0,70200.0,43.08305555555556,292.50000023399997,126.6368343426827,265.15,0
Kepler-210 b,0,70200.0,43.08305555555556,292.50000023399997,126.6368343426827,265.15,0
